event_time_utc,event_type,symbol,source,direction,entry_price,exit_price,sl,tp1,tp2,quantity,notional_irt,pnl_irt,balance_after_irt,exit_reason
2026-09-14T06:48:33.451858+00:00,open,BTCIRT,ICT/SMC v2,long,17994918303.0,,17902201680.26329,18133993237.10507,18273068171.210136,2.222e-05,400000.0,,,
2026-09-14T06:48:39.105260+00:00,open,SOLIRT,ICT/SMC v2,long,23553068.0,,23365245.26386356,23834802.10420466,24116536.20840932,0.016,400000.0,,,
2026-09-14T09:33:32.201760+00:00,open,DOGEIRT,ICT/SMC v2,long,19506.5,,19379.0300322206,19697.7049516691,19888.9099033382,20.5,400000.0,,,
2026-09-14T13:18:36.409720+00:00,open,ETHIRT,Supertrend+ADX,short,580838581.0,,587623681.1551692,570660930.7672462,560483280.5344925,0.001032,600000.0,,,
2026-09-14T13:18:42.273179+00:00,close,DOGEIRT,ICT/SMC v2,long,19506.5,19379.0300322206,,,,10.25,,-1306.5671697388652,3998693.432830261,SL
2026-09-14T13:18:42.728994+00:00,close,DOGEIRT,ICT/SMC v2,long,19506.5,19379.0300322206,,,,10.25,,-1306.5671697388652,3997386.865660522,SL
2026-09-14T13:18:46.059902+00:00,open,DOGEIRT,Supertrend+ADX,short,19436.5,,19712.836600541872,19021.99509918719,18607.49019837438,30.86,600000.0,,,
2026-09-14T13:48:28.996290+00:00,close,BTCIRT,ICT/SMC v2,long,17994918303.0,18133993237.10507,,,,1.111e-05,,1545.1225179073078,3998931.9881784297,TP1
2026-09-14T15:03:34.700663+00:00,close,SOLIRT,ICT/SMC v2,long,23553068.0,23365245.26386356,,,,0.008,,-1502.5818890915216,3997429.406289338,SL
2026-09-14T15:03:35.407345+00:00,close,SOLIRT,ICT/SMC v2,long,23553068.0,23365245.26386356,,,,0.008,,-1502.5818890915216,3995926.8244002466,SL
2026-09-14T15:18:27.002433+00:00,close,BTCIRT,ICT/SMC v2,long,17994918303.0,17994918303.0,,,,1.111e-05,,0.0,3995926.8244002466,SL
2026-09-14T15:48:40.010321+00:00,open,DOGEIRT,ICT/SMC v2,short,19299.0,,19490.23693196023,19012.144602059656,18725.289204119315,20.72,400000.0,,,
2026-09-14T18:48:35.407608+00:00,close,DOGEIRT,ICT/SMC v2,short,19299.0,19490.23693196023,,,,10.36,,-1981.2146151079767,3993945.6097851386,SL
2026-09-14T18:48:36.148114+00:00,close,DOGEIRT,ICT/SMC v2,short,19299.0,19490.23693196023,,,,10.36,,-1981.2146151079767,3991964.3951700306,SL
2026-09-14T20:18:41.983795+00:00,close,ETHIRT,Supertrend+ADX,short,580838581.0,587623681.1551692,,,,0.000516,,-3501.111680067332,3988463.2834899635,SL
2026-09-14T20:18:42.485811+00:00,close,ETHIRT,Supertrend+ADX,short,580838581.0,587623681.1551692,,,,0.000516,,-3501.111680067332,3984962.1718098964,SL
2026-09-14T21:03:28.275329+00:00,open,BTCIRT,ICT/SMC v2,long,18091836125.0,,17981386176.33754,18257511047.99369,18423185970.98738,2.21e-05,400000.0,,,
2026-09-14T21:18:32.260229+00:00,open,ETHIRT,ICT/SMC v2,long,584967653.5,,577484852.26033,596191855.3595049,607416057.21901,0.000683,400000.0,,,
2026-09-14T21:18:35.603688+00:00,open,SOLIRT,ICT/SMC v2,long,23747092.0,,23505948.805890065,24108806.791164905,24470521.58232981,0.016,400000.0,,,
2026-09-14T21:18:39.816409+00:00,open,DOGEIRT,ICT/SMC v2,long,19388.5,,19186.271209851613,19691.843185222584,19995.18637044516,20.63,400000.0,,,
2026-09-15T00:33:24.312026+00:00,close,BTCIRT,ICT/SMC v2,long,18091836125.0,17981386176.33754,,,,1.105e-05,,-1220.4719327201865,3983741.699877176,SL
2026-09-15T00:33:24.762984+00:00,close,BTCIRT,ICT/SMC v2,long,18091836125.0,17981386176.33754,,,,1.105e-05,,-1220.4719327201865,3982521.2279444556,SL
2026-09-15T00:33:29.167811+00:00,close,ETHIRT,ICT/SMC v2,long,584967653.5,577484852.26033,,,,0.000341,,-2551.635222727483,3979969.592721728,SL
